time 	 clk 	 step 	 eps 	 q
1225	 0 	 01111010 	 11011010000001100010001001100111 	 0000000000000000000000000000000000000000000000000000000000000000
1230	 1 	 01111011 	 01101001000000010000000100000001 	 0000000000000000000000000000000000000000000000000000000000000000
1235	 0 	 01111011 	 01101001000000010000000100000001 	 0000000000000000000000000000000000000000000000000000000000000000
1240	 1 	 01111100 	 01101001000000010000000100000001 	 0000000000000000000000000000000000000000000000000000000000000000
1245	 0 	 01111100 	 01101001000000010000000100000001 	 0000000000000000000000000000000000000000000000000000000000000000
1250	 1 	 01111101 	 00111110001111000100010001000101 	 0000000000000000000000000000000000000000000000000000000000000000
1255	 0 	 01111101 	 00111110001111000100010001000101 	 0000000000000000000000000000000000000000000000000000000000000000
1260	 1 	 01111110 	 00111110001111000100010001000101 	 0000000000000000000000000000000000000000000000000000000000000000
1265	 0 	 01111110 	 00111110001111000100010001000101 	 0000000000000000000000000000000000000000000000000000000000000000
1270	 1 	 01111111 	 10010100100111100000000000000001 	 0000000000000000000000000000000000000000000000000000000000000000
1275	 0 	 01111111 	 10010100100111100000000000000001 	 0000000000000000000000000000000000000000000000000000000000000000
1280	 1 	 10000000 	 10010100100111100000000000000001 	 0000000000000000000000000000000000000000000000000000000000000000
1285	 0 	 10000000 	 10010100100111100000000000000001 	 0000000000000000000000000000000000000000000000000000000000000000
1290	 1 	 10000001 	 10010100110001111000000000000011 	 0000000000000000000000000000000000000000000000000000000000000000
1295	 0 	 10000001 	 10010100110001111000000000000011 	 0000000000000000000000000000000000000000000000000000000000000000
1300	 1 	 10000010 	 10010100110001111000000000000011 	 0000000000000000000000000000000000000000000000000000000000000000
1305	 0 	 10000010 	 10010100110001111000000000000011 	 0000000000000000000000000000000000000000000000000000000000000000
1310	 1 	 10000011 	 01101010010101111110000000001100 	 0000000000000000000000000000000000000000000000000000000000000000
1315	 0 	 10000011 	 01101010010101111110000000001100 	 0000000000000000000000000000000000000000000000000000000000000000
1320	 1 	 10000100 	 01101010010101111110000000001100 	 0000000000000000000000000000000000000000000000000000000000000000
1325	 0 	 10000100 	 01101010010101111110000000001100 	 0000000000000000000000000000000000000000000000000000000000000000
1330	 1 	 10000101 	 10010000001010100111100000110100 	 0000000000000000000000000000000000000000000000000000000000000000
1335	 0 	 10000101 	 10010000001010100111100000110100 	 0000000000000000000000000000000000000000000000000000000000000000
1340	 1 	 10000110 	 10010000001010100111100000110100 	 0000000000000000000000000000000000000000000000000000000000000000
1345	 0 	 10000110 	 10010000001010100111100000110100 	 0000000000000000000000000000000000000000000000000000000000000000
1350	 1 	 10000111 	 01001111001110110111111011011011 	 0000000000000000000000000000000000000000000000000000000000000000
1355	 0 	 10000111 	 01001111001110110111111011011011 	 0000000000000000000000000000000000000000000000000000000000000000
1360	 1 	 10001000 	 01001111001110110111111011011011 	 0000000000000000000000000000000000000000000000000000000000000000
1365	 0 	 10001000 	 01001111001110110111111011011011 	 0000000000000000000000000000000000000000000000000000000000000000
1370	 1 	 10001001 	 10100111010110110010010011011010 	 0000000000000000000000000000000000000000000000000000000000000000
1375	 0 	 10001001 	 10100111010110110010010011011010 	 0000000000000000000000000000000000000000000000000000000000000000
